order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
22134	2024-05-02	EMBALLAGES AT	MIRABEL,PQ	COURCELLES,PQ	220.0	160.0	60.0	288.1398377506441		0.5553	0.2082	2024.0
22135	2024-05-02	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	775.0	600.0	175.0	738.0103549207273		0.813	0.2371	2024.0
22136	2024-05-02	CAPMATIC	LE GARDEUR,PQ	MONTREAL-NORD,PQ	165.0	115.0	50.0	944.257729746171		0.1218	0.053	2024.0
22137	2024-05-06	SCOTTS CANADA LTD			2400.0	2100.0	300.0					2024.0
22141	2024-05-07	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	750.0	550.0	200.0	738.0103549207273		0.7452	0.271	2024.0
22143	2024-05-08	DEXTER	LONGUEUIL,PQ	L'ISLE-VERTE,PQ	995.0	750.0	245.0	447.68		1.6753	0.5473	2024.0
22138	2024-05-09	SCOTTS CANADA LTD			2400.0	2100.0	300.0					2024.0
22142	2024-05-09	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22139	2024-05-10	CAPMATIC			5990.0	5200.0	790.0					2024.0
22144	2024-05-14	SCOTTS CANADA LTD			2400.0	2100.0	300.0					2024.0
22147	2024-05-14	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22148	2024-05-14	EMBALLAGES AT	LANDRIENNE,PQ	MIRABEL,PQ	1700.0	1500.0	200.0	524.3974424244166		2.8604	0.3814	2024.0
22145	2024-05-15	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22149	2024-05-15	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	3350.0	3000.0	350.0	1514.446		1.9809	0.2311	2024.0
22146	2024-05-17	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22152	2024-05-21	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765		7.7272	5.5955	2024.0
22150	2024-05-22	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22153	2024-05-22	SCOTTS DELHI	DELHI,ON	MIRAMICHI,NB	3350.0	3000.0	350.0	1514.446		1.9809	0.2311	2024.0
22154	2024-05-22	DEXTER	LONGUEUIL,PQ	MIRAMICHI,NB	1650.0	1375.0	275.0	805.501		1.707	0.3414	2024.0
22158	2024-05-22	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367		1.0277	0.3737	2024.0
22159	2024-05-23	DEXTER	LONGUEUIL,PQ	ST-ROMAIN,PQ	1175.0	947.24	227.76	220.9070504454267		4.288	1.031	2024.0
22162	2024-05-23	SCOTTS DELHI	DELHI,ON	ROCKY VIEW,AB	850.0	650.0	200.0	3209.520166053831		0.2025	0.0623	2024.0
22165	2024-05-23	EMBALLAGES AT			875.0	800.0	75.0					2024.0
22151	2024-05-24	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22160	2024-05-24	SCOTTS CANADA LTD			975.0	800.0	175.0					2024.0
22161	2024-05-24	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	375.0	288.69	86.31	659.857		0.4375	0.1308	2024.0
22163	2024-05-24	SCOTTS DELHI			1300.0	1000.0	300.0					2024.0
22164	2024-05-24	SCOTTS DELHI			1300.0	1000.0	300.0					2024.0
22169	2024-05-27	CAPMATIC			285.0	160.0	125.0					2024.0
22170	2024-05-27	SCOTTS DELHI			1650.0	1650.0	0.0					2024.0
22155	2024-05-28	SCOTTS CANADA LTD			2400.0	2100.0	300.0					2024.0
22156	2024-05-29	SCOTTS CANADA LTD			2400.0	2000.0	400.0					2024.0
22166	2024-05-29	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22173	2024-05-29	SCOTTS DELHI			1150.0	900.0	250.0					2024.0
22140	2024-05-30	THEATRIXX TECHNOLOGIES	MONTREAL,PQ	LAS VEGAS,NV	8245.0	6800.0	1445.0	4166.322		1.6321	0.3468	2024.0
22157	2024-05-30	SCOTTS CANADA LTD			2400.0	2100.0	300.0					2024.0
22167	2024-05-30	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22171	2024-05-30	CAPMATIC			240.0	130.0	110.0					2024.0
22172	2024-05-30	CAPMATIC	TERREBONNE,PQ	MONTREAL-NORD,PQ	100.0	75.0	25.0	17.134237980667216		4.3772	1.4591	2024.0
22168	2024-05-31	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22174	2024-05-31	CAPMATIC			450.0	250.0	200.0					2024.0
22175	2024-06-03	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	225.0	145.0	80.0	43.72		3.3166	1.8298	2024.0
22177	2024-06-03	SCOTTS CANADA LTD	MIRAMICHI,NB	BOUCHERVILLE,PQ	1450.0	1050.0	400.0	800.748		1.3113	0.4995	2024.0
22179	2024-06-03	DEXTER	LONGUEUIL,PQ	DRUMMONDVILLE,PQ	850.0	600.0	250.0	93.291		6.4315	2.6798	2024.0
22181	2024-06-04	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	18.765		6.9278	5.0626	2024.0
22178	2024-06-06	SCOTTS CANADA LTD			1500.0	1100.0	400.0					2024.0
22180	2024-06-07	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22182	2024-06-07	SCOTTS DELHI			397.07	328.07	69.0					2024.0
22183	2024-06-10	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22186	2024-06-10	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	300.0	175.0	125.0	18.765		9.3259	6.6613	2024.0
22187	2024-06-10	ENGRAIS McINNES			1450.0	1100.0	350.0					2024.0
22188	2024-06-12	ENGRAIS McINNES			1450.0	1100.0	350.0					2024.0
22190	2024-06-12	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	550.0	397.99	152.01	738.0103549207273		0.5393	0.206	2024.0
22189	2024-06-13	CAPMATIC	LAREDO ,TX	MONTREAL-NORD,PQ	6150.0	4900.0	1250.0	3502.715		1.3989	0.3569	2024.0
22193	2024-06-13	SCOTTS DELHI			606.0	454.85	151.15					2024.0
22194	2024-06-13	SCOTTS CANADA LTD	MIRAMICHI,NB	DELHI,ON	895.0	682.68	212.32	1516.661		0.4501	0.14	2024.0
22185	2024-06-14	SCOTTS CANADA LTD			1300.0	1100.0	200.0					2024.0
22195	2024-06-14	DEXTER	LONGUEUIL,PQ	DUNVEGAN,ON	850.0	600.0	250.0	127.79372187318452		4.6951	1.9563	2024.0
22196	2024-06-14	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22197	2024-06-14	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22198	2024-06-14	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22176	2024-06-15	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV	MONTREAL,PQ	11900.0	10750.0	1150.0	4169.084		2.5785	0.2758	2024.0
22191	2024-06-17	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22207	2024-06-17	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22199	2024-06-18	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22201	2024-06-18	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22202	2024-06-18	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22192	2024-06-19	SCOTTS CANADA LTD			1500.0	1100.0	400.0					2024.0
22200	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1750.0	200.0	727.108		2.4068	0.2751	2024.0
22203	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22204	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22205	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22206	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22208	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22209	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22210	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22211	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108		2.2005	0.4814	2024.0
22213	2024-06-20	SCOTTS DELHI	DELHI,ON	MONCTON,NB	4275.0	4200.0	75.0	1553.643594229217		2.7033	0.0483	2024.0
22214	2024-06-20	SCOTTS DELHI	DELHI,ON	SAINT JOHN,NB	4225.0	3400.0	825.0	1564.066		2.1738	0.5275	2024.0
22218	2024-06-20	DEXTER	LONGUEUIL,PQ	ST-VALÈRE,PQ	750.0	520.0	230.0	130.369		3.9887	1.7642	2024.0
22212	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0					2024.0
22215	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0					2024.0
22216	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0					2024.0
22217	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0					2024.0
22219	2024-06-21	SCOTTS DELHI	DELHI,ON	ROCKY VIEW,AB	1650.0	1250.0	400.0	3209.520166053831		0.3895	0.1246	2024.0
22220	2024-06-21	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	975.0	800.0	175.0	1514.446		0.5282	0.1156	2024.0
22221	2024-06-24	SCOTTS DELHI	DELHI,ON	VARENNES,PQ	1450.0	1100.0	350.0	735.936		1.4947	0.4756	2024.0
22222	2024-06-27	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	850.0	650.0	200.0	535.1762720094367		1.2146	0.3737	2024.0
22223	2024-06-28	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	275.0	160.0	115.0	18.765		8.5265	6.1284	2024.0
22224	2024-07-02	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	1750.0	1500.0	250.0	1514.446		0.9905	0.1651	2024.0
22226	2024-07-08	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	925.0	700.0	225.0	330.1628075210577		2.1202	0.6815	2024.0
22227	2024-07-09	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22225	2024-07-10	CAPMATIC			2475.0	1950.0	525.0					2024.0
22228	2024-07-11	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	41.382		2.4165	1.2083	2024.0
22229	2024-07-12	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	675.0	500.0	175.0	738.0103549207273		0.6775	0.2371	2024.0
22230	2024-07-16	CAPMATIC			225.0	130.0	95.0					2024.0
22231	2024-07-16	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	275.0	160.0	115.0	18.765		8.5265	6.1284	2024.0
22233	2024-07-16	ENGRAIS McINNES	STANSTEAD,PQ	GOWANSTOWN,PQ	1200.0	750.0	450.0	1020.9463989082464		0.7346	0.4408	2024.0
22234	2024-07-16	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367		1.0277	0.3737	2024.0
22237	2024-07-17	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	1250.0	1000.0	250.0	330.1628075210577		3.0288	0.7572	2024.0
22238	2024-07-18	CAPMATIC			2450.0	2000.0	450.0					2024.0
22239	2024-07-18	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22240	2024-07-18	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22241	2024-07-19	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765		7.7272	5.5955	2024.0
22235	2024-07-23	CAPMATIC			6000.0	4950.0	1050.0					2024.0
22236	2024-07-23	CAPMATIC			4750.0	4000.0	750.0					2024.0
22242	2024-07-25	CAPMATIC			2450.0	2000.0	450.0					2024.0
22243	2024-07-25	CAPMATIC			2450.0	2000.0	450.0					2024.0
22244	2024-07-26	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	18.765		6.1284	1.8652	2024.0
22245	2024-07-30	CAPMATIC			3400.0	2900.0	500.0					2024.0
22246	2024-07-31	CAPMATIC			4600.0	3800.0	800.0					2024.0
22247	2024-08-01	SCOTTS DELHI			1350.0	1100.0	250.0					2024.0
22248	2024-08-07	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22249	2024-08-08	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	18.765		6.1284	1.8652	2024.0
22250	2024-08-08	DEXTER			340.0	240.0	100.0					2024.0
22254	2024-08-09	DEXTER	LONGUEUIL,PQ	SAINT-ROBERT,PQ	250.0	175.0	75.0	74.42887524129485		2.3512	1.0077	2024.0
22251	2024-08-12	SCOTTS DELHI			1350.0	1100.0	250.0					2024.0
22252	2024-08-13	SCOTTS DELHI			1350.0	1100.0	250.0					2024.0
22255	2024-08-13	DEXTER			775.0	600.0	175.0					2024.0
22256	2024-08-13	DEXTER	LONGUEUIL,PQ	DRUMMONDVILLE,PQ	875.0	700.0	175.0	93.291		7.5034	1.8759	2024.0
22253	2024-08-14	SCOTTS DELHI			1350.0	1100.0	250.0					2024.0
22257	2024-08-14	CAPMATIC			150.0	115.0	35.0					2024.0
22258	2024-08-14	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1300.0	1100.0	200.0	659.857		1.667	0.3031	2024.0
22259	2024-08-14	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22260	2024-08-14	EMBALLAGES AT	MIRABEL,PQ	SAINT-PAMPHILE,PQ	975.0	800.0	175.0	440.455		1.8163	0.3973	2024.0
22232	2024-08-15	CAPMATIC			14939.09	14446.73	492.36					2024.0
22261	2024-08-16	CAPMATIC	ST-LAURENT,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	16.2226435584249		7.0889	2.1575	2024.0
22263	2024-08-20	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	43.72		2.2873	1.1436	2024.0
22264	2024-08-21	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	18.765		6.9278	5.0626	2024.0
22265	2024-08-21	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	410.0	350.0	60.0	535.1762720094367		0.654	0.1121	2024.0
22266	2024-08-21	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	1050.0	750.0	300.0	330.1628075210577		2.2716	0.9086	2024.0
22267	2024-08-23	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22268	2024-08-28	ENGRAIS McINNES			1450.0	1000.0	450.0					2024.0
22269	2024-08-28	ENGRAIS McINNES			1450.0	1000.0	450.0					2024.0
22271	2024-08-30	CAPMATIC			3500.0	2800.0	700.0					2024.0
22272	2024-09-03	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	43.72		2.6304	0.8005	2024.0
22273	2024-09-03	EMBALLAGES AT	MIRABEL,PQ	RIVIERE-HEVA,PQ	430.0	350.0	80.0	511.1775533699631		0.6847	0.1565	2024.0
22274	2024-09-03	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	850.0	650.0	200.0	330.1628075210577		1.9687	0.6058	2024.0
22275	2024-09-04	DEXTER	LONGUEUIL,PQ	COOKSTOWN,ON	1250.0	1000.0	250.0	632.16		1.5819	0.3955	2024.0
22278	2024-09-05	DEXTER	LONGUEUIL,PQ	ST-ROMAIN,PQ	1100.0	900.0	200.0	220.9070504454267		4.0741	0.9054	2024.0
22276	2024-09-06	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	300.0	175.0	125.0	18.765		9.3259	6.6613	2024.0
22280	2024-09-06	SCOTTS CANADA LTD			1350.0	1000.0	350.0					2024.0
22277	2024-09-09	EMBALLAGES AT			515.0	400.0	115.0					2024.0
22279	2024-09-09	EMBALLAGES AT	MIRABEL,PQ	SACRÉ-COEUR,PQ	1050.0	850.0	200.0	518.1614638014704		1.6404	0.386	2024.0
22281	2024-09-09	SCOTTS CANADA LTD			600.0	398.04	201.96					2024.0
22282	2024-09-10	DEXTER	LONGUEUIL,PQ	ST-VALÈRE,PQ	750.0	605.0	145.0	130.369		4.6407	1.1122	2024.0
22283	2024-09-11	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	700.0	450.0	250.0	330.1628075210577		1.363	0.7572	2024.0
22284	2024-09-12	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	300.0	175.0	125.0	18.765		9.3259	6.6613	2024.0
22285	2024-09-12	SCOTTS CANADA LTD			1150.0	950.0	200.0					2024.0
22286	2024-09-13	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1300.0	1100.0	200.0	659.857		1.667	0.3031	2024.0
22287	2024-09-16	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1300.0	1100.0	200.0	659.857		1.667	0.3031	2024.0
22288	2024-09-16	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1500.0	250.0	659.857		2.2732	0.3789	2024.0
22289	2024-09-16	EMBALLAGES AT			825.0	600.0	225.0					2024.0
22290	2024-09-16	CAPMATIC			300.0	175.0	125.0					2024.0
22291	2024-09-16	SCOTTS CANADA LTD			1150.0	950.0	200.0					2024.0
22292	2024-09-17	CAPMATIC	ST-LAURENT,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	16.2226435584249		8.0135	5.856	2024.0
22293	2024-09-18	SCOTTS CANADA LTD			1150.0	1000.0	150.0					2024.0
22294	2024-09-18	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22297	2024-09-19	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	41.382		2.4165	1.2083	2024.0
22298	2024-09-19	EMBALLAGES AT			655.0	500.0	155.0					2024.0
22299	2024-09-20	SCOTTS CANADA LTD			325.0	263.09	61.91					2024.0
22295	2024-09-24	EMBALLAGES AT	MIRABEL,PQ	ST-ELZÉAR,PQ	875.0	700.0	175.0	31.51764311929166		22.2098	5.5524	2024.0
22296	2024-09-26	EMBALLAGES AT	ST-ELZÉAR,PQ	MIRABEL,PQ	1375.0	1125.0	250.0	38.847		28.9598	6.4355	2024.0
22300	2024-09-26	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765		7.7272	5.5955	2024.0
22303	2024-10-01	SCOTTS CANADA LTD			1500.0	1300.0	200.0					2024.0
22304	2024-10-01	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	18.765		6.1284	1.8652	2024.0
22306	2024-10-02	EMBALLAGES AT			575.0	450.0	125.0					2024.0
22305	2024-10-03	SCOTTS CANADA LTD			1200.0	1000.0	200.0					2024.0
22308	2024-10-03	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	1250.0	900.0	350.0	738.0103549207273		1.2195	0.4742	2024.0
22309	2024-10-04	SCOTTS CANADA LTD	LACHINE,PQ	MIRAMICHI,NB	625.0	475.0	150.0	784.0790513034952		0.6058	0.1913	2024.0
22307	2024-10-07	SCOTTS CANADA LTD			1500.0	1300.0	200.0					2024.0
22310	2024-10-07	SCOTTS CANADA LTD	LACHINE,PQ	L'ORIGNAL,ON	735.0	550.0	185.0	94.788		5.8024	1.9517	2024.0
22317	2024-10-07	SCOTTS CANADA LTD			700.0	475.0	225.0					2024.0
22318	2024-10-07	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22328	2024-10-07	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	950.0	700.0	250.0	738.0103549207273		0.9485	0.3387	2024.0
22311	2024-10-08	SCOTTS CANADA LTD			1500.0	1100.0	400.0					2024.0
22316	2024-10-08	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22319	2024-10-08	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22320	2024-10-08	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22322	2024-10-08	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765		5.3291	2.6645	2024.0
22314	2024-10-09	SCOTTS CANADA LTD	LACHINE,PQ	L'ORIGNAL,ON	735.0	550.0	185.0	94.788		5.8024	1.9517	2024.0
22321	2024-10-09	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22323	2024-10-09	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22334	2024-10-09	CAPMATIC	POINTE-CLAIRE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	27.463796841271662		4.7335	3.4591	2024.0
22344	2024-10-09	SCOTTS CANADA LTD			1500.0	1200.0	300.0					2024.0
22312	2024-10-10	SCOTTS CANADA LTD			1300.0	1000.0	300.0					2024.0
22324	2024-10-10	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22325	2024-10-10	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22335	2024-10-10	SCOTTS CANADA LTD			1100.0	900.0	200.0					2024.0
22315	2024-10-11	SCOTTS CANADA LTD	LACHINE,PQ	L'ORIGNAL,ON	735.0	550.0	185.0	94.788		5.8024	1.9517	2024.0
22326	2024-10-11	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22327	2024-10-11	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22349	2024-10-11	SCOTTS CANADA LTD			1650.0	1450.0	200.0					2024.0
22350	2024-10-11	SCOTTS CANADA LTD			475.0	388.99	86.01					2024.0
22329	2024-10-15	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22330	2024-10-15	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22351	2024-10-15	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22352	2024-10-15	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22353	2024-10-15	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22354	2024-10-15	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22379	2024-10-15	SCOTTS CANADA LTD			1050.0	850.0	200.0					2024.0
22380	2024-10-15	SCOTTS CANADA LTD			975.0	750.0	225.0					2024.0
22331	2024-10-16	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22332	2024-10-16	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22346	2024-10-16	SCOTTS CANADA LTD			1500.0	1100.0	400.0					2024.0
22355	2024-10-16	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22356	2024-10-16	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22357	2024-10-16	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22358	2024-10-16	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22359	2024-10-16	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22360	2024-10-16	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22382	2024-10-16	SCOTTS CANADA LTD			1200.0	1000.0	200.0					2024.0
22333	2024-10-17	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22336	2024-10-17	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22361	2024-10-17	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22362	2024-10-17	SCOTTS DELHI	L'ORIGNAL,ON	DELHI,ON	1750.0	1450.0	300.0	666.7768536639408		2.1746	0.4499	2024.0
22363	2024-10-17	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22364	2024-10-17	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22365	2024-10-17	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
22366	2024-10-17	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857		2.1974	0.4546	2024.0
